Country,data1,data2,data3,data4,data5
Vietnam,165,6694,414,17708,2571
Lithuania,495,7470,711,19417,8597
Colombia,423,8023,304,14024,5892
North Korea,449,8070,122,12250,7440
China,169,8556,791,16560,162
China,407,9538,751,13880,9012
Sweden,109,9289,779,18972,4365
Indonesia,172,8442,101,15525,5044
China,151,5266,947,11062,337
Indonesia,278,7505,537,15576,4899
South Korea,256,6328,890,18975,6565
China,367,5530,683,19942,6926
Poland,467,9704,251,19513,2025
Canada,343,9803,121,17405,9297
Uruguay,300,8008,165,13703,122
Cambodia,160,4169,682,15652,9392
Portugal,385,8872,90,17509,9148
France,252,9816,306,16768,8975
Czech Republic,202,8830,100,14812,1025
Philippines,251,9366,28,12827,4047
Brazil,242,4828,879,16371,3694
Sweden,481,7464,273,16369,6612
South Africa,165,5154,482,18713,7531
China,222,9103,280,19541,4894
United States,354,7855,986,10291,3633
Indonesia,101,8617,195,17843,3513
China,157,6909,421,11416,8778
Russia,457,4014,231,19300,2676
China,459,4648,838,17674,4685
China,340,9867,838,12444,7739
China,194,4138,66,17582,735
Micronesia,485,4309,892,10831,4609
Russia,473,4907,211,13829,6110
San Marino,149,7975,370,16045,9472
Haiti,444,5984,497,12219,7756
Poland,405,4944,526,16661,6258
Ukraine,467,7756,160,13537,8779
China,181,9490,146,11837,658
Finland,369,4792,711,11634,8889
Greece,125,7611,677,12456,5589
Canada,317,4108,313,10096,7802
France,451,4113,453,15011,487
Argentina,148,7146,331,15123,1395
Philippines,123,9504,986,15219,294
Pakistan,171,6691,256,13887,1973
China,100,9035,43,14652,3992
Moldova,422,7279,432,17904,394
Portugal,320,7794,616,19754,2088
Bosnia and Herzegovina,486,4286,568,13056,3340
China,276,6066,297,18060,1033
France,477,8495,82,14528,5469
China,480,5313,133,16329,8358
Brazil,119,5565,796,15360,9412
Brazil,408,4378,448,14769,6987
Colombia,408,8370,847,10954,1906
Indonesia,103,5507,929,18794,8827
Armenia,458,8567,573,13872,7485
Brazil,465,4515,958,10011,4501
Cameroon,380,8299,283,14016,5825
China,415,7057,1,14124,7751
Russia,131,7426,84,18638,690
Albania,294,7473,95,11072,2518
Philippines,378,7266,223,11136,1817
France,490,7593,623,11095,2400
China,152,7594,801,13355,8003
Russia,335,6473,518,19588,9011
Indonesia,174,6702,241,14837,2592
Ecuador,488,9562,831,19565,6070
Portugal,443,8119,776,10676,1796
Russia,178,9027,458,15940,8297
United States,397,9736,776,11312,1080
China,483,6483,211,13498,731
Indonesia,139,5764,965,15401,9741
Indonesia,366,8116,995,11466,1521
Venezuela,199,6136,65,10032,4828
China,355,8842,387,19948,7882
Philippines,431,6705,676,18809,5842
Syria,173,6351,999,13789,1539
Brazil,219,6639,20,19691,8371
Macedonia,254,8958,472,12140,61
Bosnia and Herzegovina,249,5722,1000,15608,1424
Poland,188,9634,766,13109,2814
France,429,7364,571,10999,5464
Brazil,133,7584,235,18313,7405
Indonesia,428,4529,724,19974,2626
France,213,9567,1000,13908,3839
Indonesia,406,4145,988,12348,5924
Sweden,148,6160,515,16927,1684
Pakistan,146,6589,873,19888,1674
Luxembourg,244,4975,262,16786,3182
China,282,9667,370,11731,5093
New Zealand,363,6154,851,11909,6473
Indonesia,259,4033,778,10251,2550
Bangladesh,272,9394,659,15277,8328
Czech Republic,236,7521,756,13605,7769
Kiribati,214,5519,891,10949,4910
Brazil,161,5814,743,16415,4094
Canada,381,7603,779,13885,7510
Argentina,306,4293,493,13219,6222
Canada,164,9273,767,15474,3781
Argentina,134,5340,878,10993,433
Germany,414,8427,694,19400,1972
Yemen,215,4385,337,12796,2421
Denmark,445,9269,531,15935,3855
Russia,312,6597,500,10862,2411
Brazil,155,4118,739,19281,3434
Brazil,370,8753,850,14361,9075
Sweden,431,9304,894,12976,7149
Finland,169,9424,988,13756,2947
Ireland,242,6893,328,14178,6275
Colombia,264,8814,462,18355,9502
Argentina,211,4689,754,12205,8110
China,417,6904,611,19976,4940
Brazil,218,4960,154,17871,1391
Tanzania,431,5765,624,11712,5441
Germany,126,9837,646,17452,1476
Portugal,204,5445,123,18220,339
Russia,107,6673,274,16251,4977
Guatemala,449,6249,322,18555,290
Argentina,438,9038,367,10704,1534
Brazil,280,7588,546,10365,9369
Indonesia,480,8747,132,15758,2058
Russia,350,5192,47,18529,177
Netherlands,133,9403,614,12420,1712
Brazil,446,9472,28,18907,5261
Sweden,326,9429,378,11553,747
China,406,4406,372,12538,3745
China,183,6125,138,13675,6529
United Kingdom,117,5489,308,11671,3575
Azerbaijan,227,6341,152,11031,4820
Philippines,225,4349,679,19139,2057
China,235,7843,488,14483,4746
Romania,472,5270,90,18591,9984
Panama,364,6490,590,16880,888
Germany,400,9680,29,17184,218
Portugal,339,5219,699,14286,7731
Indonesia,447,7411,153,19398,9163
Argentina,479,8954,269,11750,629
China,283,5995,46,16470,143
Nigeria,116,8482,896,18479,1866
Poland,488,7715,518,10132,2245
China,232,8692,894,19706,5312
Moldova,348,4818,778,16458,6733
China,139,5073,253,17270,471
Czech Republic,365,9057,384,11518,3322
Marshall Islands,330,9226,489,14067,302
Colombia,344,9320,828,11451,2985
Kazakhstan,363,6309,968,15290,1016
Myanmar,302,4681,316,15273,579
Indonesia,460,8103,425,11945,1160
Peru,248,7505,849,10764,3609
China,445,8204,904,15384,6286
Indonesia,252,7003,91,14126,1939
Pakistan,431,7449,870,19198,2791
Greece,381,5219,434,11816,8515
Russia,247,4308,524,19031,2208
China,102,8037,327,12434,4684
France,250,4887,313,13366,2757
Indonesia,337,9158,402,19016,5030
Sweden,234,9756,249,11667,2462
Russia,107,8138,984,13634,8972
Israel,398,8687,904,11345,8823
China,102,4654,245,12605,7593
Russia,460,6579,124,10903,2923
United States,418,4599,137,19469,3832
Malaysia,117,8869,855,14528,2696
China,351,4420,343,17450,670
Poland,409,9180,619,13719,1996
Palestinian Territory,410,4191,784,15670,3215
Sudan,177,7129,238,19919,3924
Indonesia,235,8992,382,19187,2727
Chile,323,5956,879,17833,2390
China,182,8438,843,12333,8669
Finland,484,8861,31,14016,7143
Egypt,141,8544,756,12449,1761
Vietnam,158,8847,748,14626,2432
Ukraine,492,4801,701,13403,7077
Malaysia,280,7696,497,10372,3533
Argentina,313,7739,425,15539,3627
China,483,5972,331,14909,5961
China,325,9418,837,17629,6059
China,301,6870,563,17998,4299
China,260,5645,516,15896,7653
Philippines,289,7139,664,13171,4177
Madagascar,103,4143,935,16461,4898
Indonesia,411,5856,361,15809,3160
China,463,5557,167,12960,2961
Japan,111,7598,88,18658,6757
Brazil,465,8886,982,16079,1730
Philippines,402,9475,39,18617,9221
Philippines,315,8715,761,13751,6438
Russia,434,8075,63,10653,2395
Indonesia,488,7227,416,11641,5745
Armenia,429,7496,812,13091,9450
Canada,188,9755,688,14378,3578
China,235,6827,623,19872,1424
United States,354,9672,360,18109,3903
Belarus,446,6117,825,12318,509
Indonesia,141,5137,121,12805,1666
Indonesia,246,7512,502,12795,8807
Armenia,400,9808,425,19952,9256
